name,text
Virat Kohli,#onlyseegreat https://t.co/Q7cAIl2JJp
Virat Kohli,".@PlayMPL pe akal lagao! 🧠
Are you ready to make your Fantasy Teams this T20 season? #HainAkalKheloMPL https://t.co/awaHvGPseq"
Virat Kohli,"What a special evening, today. 
3 out of 3 wins &amp; my debut for this amazing franchise 13 years ago, on this day. Th… https://t.co/fWM4HiNXTe"
Virat Kohli,Action-packed race at Rome last weekend. Proud to see the electrifying performance from #TeamIndia. Congratulations… https://t.co/Ndum2vS8i5
Virat Kohli,"#OnlySeeGreat 💪
@PUMA @pumacricket https://t.co/5I0MU1djno"
Virat Kohli,"Onto the next one ❤️👍
@RCBTweets https://t.co/Lt4woVr8oA"
Virat Kohli,"Chilling with these dudes post practice @ABdeVilliers17
@HarshalPatel23 https://t.co/Y06h8QnIXg"
Virat Kohli,"Participate in the VIVO IPL #PerfectFan contest, answer simple questions and get a chance to meet me! 🙂

Are you th… https://t.co/bO3gYQ6LVN"
Virat Kohli,"Partnership is everything. 🤝
We'll find the perfect pair of PUMA Nitros together. Click on the link and let's get t… https://t.co/i1GYNcE67g"
Virat Kohli,"Tough game but happy to be on the winning side. 
#playbold
@RCBTweets https://t.co/3UNhRunXDO"
Virat Kohli,Never seen this side of Rahul bhai 🤯🤣 https://t.co/4W93p0Gk7m
Virat Kohli,"Focused &amp; ready to go.
#playbold @RCBTweets https://t.co/HeIRkiQ3P5"
Virat Kohli,No doubt and that's why we've got you on our team now 🙌 @usainbolt @pumacricket https://t.co/1k3ZkTozR5
Virat Kohli,"Hey RCB fans! We are back, proudly representing the red &amp; gold brigade.
 
A cracking contest awaits us as we face M… https://t.co/7BjISSbzrs"
Virat Kohli,Absolutely tragic to hear about the loss of lives of our brave jawans. My condolences to the bereaved families. 🙏
Virat Kohli,"To ensure health &amp; support to stray animals, @vkfofficial has now taken its first step towards animal welfare in co… https://t.co/bqB3qsmGw4"
Virat Kohli,"An offer that you cannot miss!
So let's get straight ""two"" it! 😃
To shop, hit the link- https://t.co/jhYSiWKhvr… https://t.co/dfzRpFZ8rS"
Virat Kohli,"In the end, it's you who you have to answer to. https://t.co/9o96NsUAaP"
Virat Kohli,"One of us wins, all of us win. Am I right? 😉 Hello, @RCBTweets's newest and fastest teammate @pumacricket https://t.co/XHmKTiAgkc"
Virat Kohli,"May this colorful festival bring peace, joy and prosperity in everyone's lives. Wishing everyone a very happy holi."
